clics_db_id,start_date,end_date,enroll_product_id
1,2021-01-01,NULL,37918
38,2021-05-03,NULL,41171
39,2023-03-01,NULL,504366
40,2023-03-01,NULL,504367
41,2023-03-01,NULL,504369
42,2023-03-01,NULL,504368
43,2023-03-01,NULL,504370
44,2023-03-01,NULL,504396
45,2023-03-01,NULL,504397
46,2023-03-01,NULL,504399
47,2023-03-01,NULL,504398
48,2023-03-01,NULL,504400
49,2023-03-15,NULL,394841
50,2023-01-30,NULL,393682
51,2023-01-30,NULL,393683
52,2023-01-30,NULL,393684
53,2023-01-30,NULL,393685
54,2023-02-01,NULL,64012
55,2023-02-28,NULL,133535
56,2023-02-28,NULL,133536
57,2023-02-28,NULL,133537
58,2023-02-28,NULL,378234
59,2023-02-28,NULL,378235
60,2023-02-28,NULL,378236
61,2023-05-01,NULL,621397
62,2023-05-01,NULL,621396
63,2023-05-05,NULL,19446
64,2023-05-05,NULL,19447
65,2023-05-05,NULL,504550
66,2023-05-05,NULL,19504
67,2023-05-05,NULL,19505
68,2023-05-05,NULL,504564
69,2023-05-05,NULL,19472
70,2023-05-05,NULL,19473
71,2023-05-05,NULL,504558
74,2023-01-01,NULL,438275
75,2023-01-01,NULL,438279
76,2023-01-01,NULL,438283
77,2023-01-01,NULL,438287
78,2023-01-01,NULL,438291
79,2023-05-08,NULL,620654
80,2023-05-08,NULL,664290
81,2023-08-31,NULL,68591
82,2023-08-01,NULL,902654
83,2023-08-01,NULL,902655
84,2023-08-01,NULL,902656
85,2023-08-01,NULL,902650
86,2023-08-01,NULL,902651
87,2023-08-01,NULL,902652
88,2023-08-01,NULL,902653
89,2023-08-01,NULL,902625
90,2023-08-01,NULL,902658
91,2023-08-01,NULL,902659
92,2023-08-01,NULL,902660
93,2023-08-01,NULL,902661
94,2023-08-01,NULL,902662
95,2023-08-01,NULL,902663
96,2023-08-01,NULL,902664
97,2023-08-01,NULL,902666
98,2023-08-01,NULL,902667
99,2023-08-01,NULL,902668
100,2023-08-01,NULL,902669
101,2023-08-01,NULL,902627
102,2023-08-01,NULL,902642
103,2023-08-01,NULL,902615
104,2023-08-01,NULL,902616
105,2023-08-01,NULL,902619
106,2023-08-01,NULL,902620
107,2023-08-01,NULL,902621
108,2023-08-01,NULL,902622
109,2023-08-01,NULL,902623
110,2023-08-01,NULL,902624
111,2023-08-01,NULL,902618
112,2023-08-01,NULL,902617
113,2023-08-01,NULL,902626
114,2023-08-01,NULL,902628
115,2023-08-01,NULL,902629
116,2023-08-01,NULL,902630
117,2023-08-01,NULL,902631
118,2023-08-01,NULL,902632
119,2023-08-01,NULL,902633
120,2023-08-01,NULL,902634
121,2023-08-01,NULL,902635
122,2023-08-01,NULL,902637
123,2023-08-01,NULL,902638
124,2023-08-01,NULL,902639
125,2023-08-01,NULL,902640
126,2023-08-01,NULL,902641
127,2023-08-01,NULL,902643
128,2023-08-01,NULL,902644
129,2023-08-01,NULL,902645
130,2023-08-01,NULL,902646
131,2023-08-01,NULL,902647
132,2023-08-01,NULL,902648
133,2023-08-01,NULL,902649
134,2023-08-01,NULL,902665
