clics_db_id,start_date,end_date,parent_id
3,2021-10-01,NULL,44
4,2021-10-01,NULL,43
5,2021-01-26,NULL,312
6,2021-07-01,NULL,752
7,2021-10-04,NULL,349
8,2022-01-04,NULL,347
9,2022-01-04,NULL,346
10,2022-01-04,NULL,345
11,2022-01-04,NULL,344
12,2022-01-04,NULL,343
14,2021-10-10,NULL,763
15,2022-02-16,NULL,1347
16,2023-01-01,NULL,1459
17,2011-04-23,NULL,1070
18,2011-04-23,NULL,1069
19,2023-02-01,NULL,914
20,2022-04-21,NULL,583
21,2001-02-01,NULL,1958
22,2023-03-10,NULL,2039
23,2018-07-17,NULL,1897
24,2015-02-07,NULL,1495
25,2023-10-01,NULL,1062
26,2015-10-01,NULL,1451
27,2015-10-01,NULL,1452
28,2015-10-01,NULL,1453
29,2023-11-01,NULL,1317
30,2023-11-01,NULL,1314
31,2023-03-22,NULL,1808
32,2023-12-01,NULL,13155
33,2023-12-01,NULL,13222
