id,year,month,group_policy_active_weight,group_policy_inactive_weight,group_policy_active_at_least_one_day,group_policy_cluster_active_weight,group_policy_cluster_inactive_weight,group_policy_cluster_active_at_least_one_day,enroll_active_weight,enroll_inactive_weight,enroll_active_at_least_one_day,enroll_active_old_age_weight,enroll_inactive_old_age_weight,enroll_active_mid_age_weight,enroll_inactive_mid_age_weight,enroll_active_young_age_weight,enroll_inactive_young_age_weight,enroll_active_child_age_weight,enroll_inactive_child_age_weight,enroll_product_active_weight,enroll_product_inactive_weight,enroll_product_active_at_least_one_day,enroll_product_GM_active_weight,enroll_product_GL_active_weight,enroll_product_BM_active_weight,enroll_product_BL_active_weight,enroll_product_GM_inactive_weight,enroll_product_GL_inactive_weight,dependent_active_weight,dependent_inactive_weight,dependent_active_at_least_one_day,dependent_active_old_age_weight,dependent_active_mid_age_weight,dependent_inactive_mid_age_weight,dependent_active_young_age_weight,dependent_inactive_young_age_weight,dependent_active_child_age_weight,dependent_inactive_child_age_weight,claim_amount
2154,2020,1,8039,0,263,6884,31,230,5188961,19043,168680,313716,992,3944582,9744,925424,8248,5239,59,19156235,744293,626267,1843266,125259,173414,3815846,35907,186,12807,2383,414,0,3241,559,2749,416,6817,1408,128225
2155,2020,2,7828,0,273,6967,29,244,4931001,19718,171416,304284,955,3738850,10032,882743,8644,5124,87,18298622,834987,634623,1927361,123979,162226,3604036,44423,174,11848,2362,409,0,3014,553,2519,439,6315,1370,4297622
2156,2020,3,8840,0,290,8138,31,270,5368945,23168,174136,334613,1111,4059625,11921,969224,10043,5483,93,19651618,1047182,637343,2162226,137540,173414,3891158,64586,186,12391,2799,401,0,3111,702,2666,496,6614,1601,5185520
2157,2020,4,8814,0,295,8338,30,280,5245237,23638,174972,328448,1110,3964392,12305,947220,10133,5177,90,19630893,1094315,655341,2454361,137010,167820,3777222,76305,180,11910,2790,397,0,2970,720,2580,480,6360,1590,4183966
2158,2020,5,9289,0,302,8830,31,288,5426714,25339,175135,343061,1164,4106154,13256,972371,10826,5128,93,20284127,1170892,655296,2553843,141700,173414,3903360,85026,186,12307,2883,397,0,3083,766,2652,474,6572,1643,8151349
2159,2020,6,9373,0,315,9070,138,308,5309033,25840,177495,337753,1146,4023271,13782,943072,10822,4937,90,19087282,3395835,710841,3288509,143073,167820,3778720,167835,180,11910,2790,397,10,3024,750,2532,450,6344,1590,6127825
2160,2020,7,10117,0,332,10354,155,340,5671059,30266,183840,363361,1261,4287467,16525,1015081,12387,5150,93,16617591,3774445,537155,2473753,161332,173414,3908772,1336159,186,12307,2883,397,31,3153,775,2582,465,6541,1643,8772148
2161,2020,8,10498,0,341,10878,155,355,5755234,32099,187033,370995,1320,4340350,17649,1038490,13037,5399,93,16629473,3822258,537528,2495983,169498,173414,3931418,1342612,186,12226,2964,397,31,3175,802,2533,465,6487,1697,12116384
2162,2020,9,10580,0,360,11144,150,382,5664182,33506,190837,367128,1371,4259558,18189,1031684,13856,5812,90,16083764,3779732,538964,2443161,172585,167820,3830788,1308362,180,11572,3128,391,30,3034,866,2391,459,6117,1803,22190779
2163,2020,10,11356,0,370,12197,155,397,5999331,65464,194494,389000,2240,4495715,44426,1107839,18705,6777,93,16601296,4103464,539340,2629082,185713,173414,3992587,1385127,217,11108,4082,375,31,2901,1129,2282,663,5894,2290,18252065
2164,2020,11,11380,0,387,12299,150,419,5872714,67765,196986,384449,2370,4406866,46142,1075114,19163,6285,90,15841238,4275344,530533,2581028,183095,167820,3898315,1345514,210,10257,4443,348,30,2696,1204,2091,759,5440,2480,22894468
2165,2020,12,12313,0,403,13386,155,439,6163521,72237,200851,406513,2471,4632364,49247,1118156,20426,6488,93,16411805,4519314,532747,2694687,196150,173414,4077444,1396887,217,8109,4043,263,31,2183,1165,1515,624,4380,2254,29775216
2166,2021,1,13415,18,442,15426,191,509,6427912,76533,209313,428351,2518,4820336,52460,1172930,21462,6295,93,16532440,4670033,537504,2869918,228023,173414,4128185,1407224,359,7723,4429,260,31,2087,1309,1419,675,4186,2445,28475089
2167,2021,2,12669,28,460,14936,196,551,5959655,71998,214974,396565,2314,4436552,49115,1120912,20485,5626,84,15006885,4292586,537159,2698684,215180,156632,3755239,1277600,336,6860,4116,245,28,1848,1237,1288,611,3696,2268,26833715
2168,2021,3,14666,31,482,17926,217,594,6729953,82508,219080,449389,2617,4997260,56310,1277274,23465,6030,116,16651874,4816121,539428,3040738,241006,173414,4196096,1421019,372,7595,4557,245,31,2046,1395,1426,651,4092,2511,32591732
2169,2021,4,15061,30,508,18949,210,641,6752507,82659,226403,443299,2694,4960517,56057,1341344,23788,7347,120,16299391,4723137,545469,3133144,243205,167820,4099042,1383457,360,7350,4410,245,30,2009,1350,1351,630,3960,2430,36027640
2170,2021,5,15974,31,520,20291,217,660,7215133,87488,235645,465869,2903,5250295,58963,1490239,25467,8730,155,14142842,4560813,457164,3292322,258077,173414,4248719,1434161,372,7562,4590,245,31,2077,1395,1362,684,4092,2511,31369697
2171,2021,6,15863,30,535,20216,210,681,7118549,89905,239434,459449,2952,5164258,60444,1486467,26359,8375,150,13470405,4691244,458580,3209517,251090,167820,4137798,1398364,360,7290,4470,243,30,2021,1350,1279,690,3960,2430,48016375
2172,2021,7,16963,31,549,21700,217,704,7502778,98275,242722,484734,3148,5426356,66079,1583209,28894,8479,154,13940727,5014674,450998,3439230,266507,173414,4322516,1456772,372,7533,4619,243,31,2108,1395,1302,713,4092,2511,25706770
2173,2021,8,17202,31,557,22552,217,734,7587209,103443,246033,492936,3270,5482178,69332,1603600,30686,8495,155,13880419,5156983,452117,3492854,266548,173414,4338993,1468631,372,7504,4648,243,31,2108,1395,1273,742,4092,2511,47337053
2174,2021,9,16912,30,566,22426,210,751,7410094,131878,248974,485593,3241,5351298,86778,1564943,41709,8260,150,11223163,6988036,387574,3156738,260565,167820,4232980,1396036,360,6875,4885,242,30,1937,1469,1158,776,3750,2640,62025962
2175,2021,10,17739,31,574,23612,217,766,7755556,146229,251578,512501,3462,5599062,96231,1635976,46377,8017,159,11243414,7664954,363911,3288844,269505,173414,4420711,1458932,372,5777,6375,187,31,1647,1954,947,970,3152,3451,60625334
2176,2021,11,17509,30,589,23526,210,792,7681200,146883,260513,506055,3595,5515997,96843,1650579,46265,8569,180,10939245,7462734,367067,3226603,262202,167820,4323330,1424964,360,5550,6210,185,30,1610,1920,880,930,3030,3360,52475630
2177,2021,12,18477,31,601,24863,232,809,8147509,161642,265579,533730,3889,5818892,105493,1784940,52028,9947,232,11389665,7757875,370046,3372791,280229,173414,4524241,1499903,372,5642,6510,182,31,1643,2015,899,961,3069,3534,42974179
2178,2022,1,18984,31,618,25833,248,844,8372485,178967,271859,561715,4356,5993438,114020,1808922,60258,8410,333,11611473,7842347,376546,3567323,284829,173414,4584147,1547100,417,5606,6546,182,31,1647,2027,883,961,3045,3558,56439503
2179,2022,2,17599,28,633,24010,224,864,7663256,169548,276626,519556,4124,5476602,108294,1660049,56789,7049,341,10500468,7190545,381818,3232987,288692,156632,4177577,1437729,476,4898,6078,176,28,1441,1891,756,896,2673,3291,61363634
2180,2022,3,19781,31,645,27030,248,880,8532123,303264,277516,587779,4797,6123567,151902,1813853,145596,6924,969,11740114,8111204,381032,3518886,465013,173414,4674021,1721735,1659,5363,6789,173,31,1581,2108,806,1023,2945,3658,126455586
2181,2022,4,19537,30,653,26733,240,893,8439230,308608,287082,582531,4795,6053492,156568,1796388,146292,6819,953,11394261,7907762,380754,3446933,456836,167820,4543692,1684133,5909,5106,6654,171,30,1476,2094,780,990,2820,3570,201531369
2182,2022,5,20362,31,660,27806,248,901,9021635,323058,293708,618050,4991,6450731,164879,1945238,152165,7616,1023,11737512,8267717,381936,3595252,492726,173414,4695570,1745257,6420,5246,6906,170,31,1519,2170,782,1047,2914,3689,167831862
2183,2022,6,20015,30,670,27365,240,915,8861701,320094,297487,610060,4948,6317648,164486,1926753,149742,7240,918,11360592,8076239,379405,3521388,497374,167820,4544100,1702959,6490,5070,6690,169,30,1470,2100,750,1020,2820,3570,185023125
2184,2022,7,21069,31,684,28977,248,943,9285915,370125,301242,640468,8473,6616218,196460,2022475,164310,6754,882,11783959,8442195,382153,3719294,520621,173414,4695570,1813845,6820,5187,6965,169,31,1502,2187,757,1072,2897,3706,139433719
2185,2022,8,21334,31,694,29371,248,953,9385170,393124,305989,649164,9200,6673207,214677,2054830,168364,7969,883,11413513,8560797,369790,3718464,549693,173414,4385632,1843260,7257,4995,7157,165,31,1468,2221,701,1136,2795,3800,190854157
2186,2022,9,20963,30,701,28814,240,964,9231760,396655,309650,638032,9219,6535211,217531,2049386,169092,9131,813,10935425,8505064,365871,3520569,618686,167820,4244160,1884612,7942,4740,7020,158,30,1426,2160,674,1110,2610,3750,237599606
2187,2022,10,21982,31,716,30157,248,980,9629544,471279,312316,672363,11096,6820071,268001,2128772,191283,8338,899,11173849,8921957,361425,3570804,640369,173414,4385632,2019930,9067,4898,7254,158,31,1488,2245,682,1134,2697,3875,234109734
2188,2022,11,21734,30,727,29942,240,1002,9577271,467593,322074,663429,10912,6744611,267884,2158193,187970,11038,827,10745093,8702658,358580,3435957,619116,167820,4244160,1974614,9384,4740,7020,158,30,1440,2211,660,1059,2610,3750,239346640
2189,2022,12,22738,31,738,31384,248,1018,10049142,493361,325884,701301,11475,7066081,284337,2270937,196802,10823,747,11052407,9043748,357559,3535765,639426,173414,4385632,2055304,10024,4898,7254,158,31,1495,2310,675,1087,2697,3857,242160597
2190,2023,1,23302,62,757,32201,434,1044,10192067,536155,329947,729772,13735,7187541,316115,2267100,205536,7654,769,10862397,9233849,351396,3425714,638537,173414,4385632,2165446,10913,4898,7254,158,31,1571,2387,599,1023,2697,3844,245844421
2191,2023,2,21361,56,767,29513,402,1062,9262424,497573,331867,670598,13052,6535679,294960,2050239,188861,5908,700,9730498,8421000,347776,3072039,576651,156632,3961216,1978091,9949,4396,6580,157,28,1428,2170,504,938,2436,3472,250134159
2192,2023,3,24137,62,788,33615,474,1098,10333308,564974,335689,753607,15298,7294659,336374,2279052,212587,5990,715,10746610,9349791,347111,3384584,637840,173414,4385632,2206731,11610,4744,7408,157,31,1548,2478,546,1008,2619,3922,297557367
2193,2023,4,23813,79,797,33188,499,1112,10075703,574586,336711,737464,15339,7112794,340542,2219618,217955,5827,750,10317095,9131035,344381,3241731,616004,167820,4244160,2169219,12496,4371,7389,146,30,1407,2493,510,990,2424,3906,271374506
2194,2023,5,24954,93,811,34781,527,1128,10455461,608967,338261,769012,16350,7382073,361579,2298515,230252,5861,786,10556908,9540513,341057,3331952,636490,173414,4385632,2259873,12960,4309,7843,139,31,1426,2714,465,975,2387,4154,231711641
2195,2023,6,24470,90,820,34046,510,1141,10200752,606141,341029,753227,16231,7197169,361355,2244901,227747,5455,808,10176053,9273914,339505,3198045,615878,167820,4244160,2213842,12622,4080,7680,136,30,1350,2670,450,930,2250,4080,229539421
2196,2023,7,25791,93,839,36020,558,1172,10770953,667289,348768,789339,18359,7571564,397197,2404461,250839,5589,894,10435200,9663185,337062,3264326,628988,173414,4385632,2328043,20462,3875,8277,125,31,1302,2852,403,1027,2139,4398,234865193
2197,2023,8,26360,93,858,36761,558,1195,10874738,691156,352648,799267,19005,7623477,411946,2446911,259212,5083,993,10397283,9701354,336042,3240023,626484,173414,4385632,2352346,23218,3875,8277,125,31,1302,2872,403,1034,2139,4371,283833802
2198,2023,9,25934,90,869,36129,540,1216,10623977,705761,359714,781126,19082,7436620,420333,2400938,265273,5293,1073,10035902,9416668,334837,3116809,605963,167820,4244160,2295161,25057,3738,8022,125,30,1262,2790,402,1002,2044,4230,312895324
2199,2023,10,27285,110,889,38821,575,1294,11394595,767979,371492,818167,20508,7922800,455251,2646942,290911,6686,1309,10337463,9764616,333738,3206335,625562,173414,4385632,2386664,26492,3844,8308,124,31,1337,2908,368,1029,2108,4371,279252106
2200,2023,11,26973,120,909,39204,570,1320,11121605,787292,372127,802323,20717,7753424,467222,2559101,298025,6757,1328,9960823,9493247,332884,3079204,604559,167820,4244160,2333666,26461,3630,8130,121,30,1290,2850,330,990,1980,4290,347206113
